"File","Name","Nd","Vd","dPgF","Density"
"CDGM-ZEMAX202409.txt","D-ZF10-25","1.68731","31.183804","0.0067","2.84"
"CDGM-ZEMAX202409.txt","D-ZF93","2.0017","20.700195","0.0285","6.11"
"CDGM-ZEMAX202409.txt","D-ZF93-25","1.9998","20.686444","0.0283","6.11"
"CDGM-ZEMAX202409.txt","D-LAF50","1.774","49.590362","-0.0065","4.93"
"CDGM-ZEMAX202409.txt","D-LAF50-25","1.77288","49.519338","-0.0066","4.93"
"CDGM-ZEMAX202409.txt","D-LAF050","1.76842","49.28216","-0.0094","4.51"
"CDGM-ZEMAX202409.txt","D-LAF050-25","1.76709","49.197491","-0.0095","4.51"
"CDGM-ZEMAX202409.txt","D-LAF53","1.7433","49.325949","-0.0089","4.26"
"CDGM-ZEMAX202409.txt","D-LAF53-25","1.7421","49.246024","-0.009","4.26"
"CDGM-ZEMAX202409.txt","D-LAF79","1.73077","40.508021","-0.0047","3.21"
"CDGM-ZEMAX202409.txt","D-LAF79-25","1.72986","40.497566","-0.0049","3.21"
"CDGM-ZEMAX202409.txt","D-ZLAF50","1.80337","45.491557","-0.0089","4.89"
"CDGM-ZEMAX202409.txt","D-ZLAF50-25","1.80225","45.452746","-0.009","4.89"
"CDGM-ZEMAX202409.txt","D-ZLAF52LA","1.81","40.992863","-0.006","4.56"
"CDGM-ZEMAX202409.txt","D-ZLAF52LA-25","1.80882","40.970313","-0.0058","4.56"
"CDGM-ZEMAX202409.txt","D-ZLAF61","1.82241","42.714541","-0.0068","4.92"
"CDGM-ZEMAX202409.txt","D-ZLAF61-25","1.82131","42.674895","-0.0068","4.92"
"CDGM-ZEMAX202409.txt","D-ZLAF67","1.88385","37.198899","-0.0047","5.5"
"CDGM-ZEMAX202409.txt","D-ZLAF67-25","1.88259","37.185491","-0.0047","5.5"
"CDGM-ZEMAX202409.txt","D-ZLAF81","1.8088","40.999441","-0.0059","4.55"
"CDGM-ZEMAX202409.txt","D-ZLAF81-25","1.80757","40.97334","-0.006","4.55"
"CDGM-ZEMAX202409.txt","D-ZLAF85A","1.85222","40.10819","-0.0075","5.22"
"CDGM-ZEMAX202409.txt","D-ZLAF85A-25","1.8511","40.055609","-0.0075","5.22"
"CDGM-ZEMAX202409.txt","D-ZLAF85LN","1.84558","40.094322","-0.006","4.96"
"CDGM-ZEMAX202409.txt","D-ZLAF85LN-25","1.84443","40.067973","-0.0062","4.96"
"CDGM-ZEMAX202409.txt","D-ZLAF85L","1.8537","40.579411","-0.0081","5.28"
"CDGM-ZEMAX202409.txt","D-ZLAF85L-25","1.8526","40.534071","-0.0081","5.28"
"CDGM-ZEMAX202409.txt","D-ZLAF85LS","1.8545","40.593546","-0.008","5.29"
"CDGM-ZEMAX202409.txt","D-ZLAF85LS-25","1.85344","40.557917","-0.008","5.29"
"CDGM-ZEMAX202409.txt","H-FK61GTI","1.497","81.612838","0.0312","3.7"
"CDGM-ZEMAX202409.txt","H-QK3LGTI","1.48749","70.440487","0.0035","2.43"
"CDGM-ZEMAX202409.txt","H-QK30GTI","1.48217","70.299764","0.0047","2.45"
"CDGM-ZEMAX202409.txt","H-K90GTI","1.51948","63.291634","-0.0016","2.52"
"CDGM-ZEMAX202409.txt","QF50GTI","1.58144","40.885954","-0.0018","3.23"
"CDGM-ZEMAX202409.txt","F4GTI","1.62005","36.430327","-0.0007","3.57"
"CDGM-ZEMAX202409.txt","HWS1","0","4.68","4","363"
"CDGM-ZEMAX202409.txt","HWS2","0","4.71","4","293.4"
"CDGM-ZEMAX202409.txt","HWS3","0","4.42","4","414.4"
"CDGM-ZEMAX202409.txt","HWS4","0","4.41","4","277.4"
"CDGM-ZEMAX202409.txt","HWS5","0","4.47","4","228.7"
"CDGM-ZEMAX202409.txt","HWS6","0","4.63","4","140.8"
"CDGM-ZEMAX202409.txt","HWS7","0","4.84","4","378.9"
"CDGM-ZEMAX202409.txt","HWS27","0","3.2","4","186"
"CDGM-ZEMAX202409.txt","H-FK71A","1.456498","90.470884","0.0415","3.64"
"CDGM-ZEMAX202409.txt","H-BAK7A","1.568828","56.127804","-0.0026","2.84"
"CDGM-ZEMAX202409.txt","H-ZK7","1.613095","60.614383","-0.0041","3.51"
