"Name","Series","Family","Number","Suffix","Dash","At","Star","File","Nd","Vd"
"H-ZF1B","H","ZF","1","B",,,,"NHG202501.txt","1.647683","33.853976"
"S-ZF2","S","ZF","2","",,,,"NHG202501.txt","1.672696","32.159878"
"H-ZF2","H","ZF","2","",,,,"NHG202501.txt","1.672696","32.159878"
"S-ZF3","S","ZF","3","",,,,"NHG202501.txt","1.717363","29.506542"
"H-ZF3","H","ZF","3","",,,,"NHG202501.txt","1.717363","29.506542"
"S-ZF4","S","ZF","4","",,,,"NHG202501.txt","1.728249","28.324976"
"H-ZF4","H","ZF","4","",,,,"NHG202501.txt","1.728249","28.324976"
"S-ZF4GT","S","ZF","4","GT",,,,"NHG202501.txt","1.728249","28.324976"
"H-ZF4A","H","ZF","4","A",,,,"NHG202501.txt","1.728248","28.318772"
"S-ZF4A","S","ZF","4","A",,,,"NHG202501.txt","1.728248","28.318772"
"H-ZF4AGT","H","ZF","4","AGT",,,,"NHG202501.txt","1.728248","28.318772"
"S-ZF4AGT","S","ZF","4","AGT",,,,"NHG202501.txt","1.728248","28.318772"
"H-ZF4GT","H","ZF","4","GT",,,,"NHG202501.txt","1.728249","28.324976"
"S-ZF5","S","ZF","5","",,,,"NHG202501.txt","1.74","28.290105"
"H-ZF5","H","ZF","5","",,,,"NHG202501.txt","1.74","28.290105"
"S-ZF5GT","S","ZF","5","GT",,,,"NHG202501.txt","1.74","28.290105"
"H-ZF5GT","H","ZF","5","GT",,,,"NHG202501.txt","1.74","28.290105"
"S-ZF6","S","ZF","6","",,,,"NHG202501.txt","1.755202","27.542325"
"H-ZF6","H","ZF","6","",,,,"NHG202501.txt","1.755202","27.542325"
"S-ZF6GT","S","ZF","6","GT",,,,"NHG202501.txt","1.755202","27.542325"
"H-ZF6GT","H","ZF","6","GT",,,,"NHG202501.txt","1.755202","27.542325"
"S-ZF7L","S","ZF","7","L",,,,"NHG202501.txt","1.805179","25.448202"
"H-ZF7L","H","ZF","7","L",,,,"NHG202501.txt","1.805179","25.448202"
"S-ZF7LGT","S","ZF","7","LGT",,,,"NHG202501.txt","1.805179","25.448202"
"H-ZF7LGT","H","ZF","7","LGT",,,,"NHG202501.txt","1.805179","25.448202"
"S-ZF10","S","ZF","10","",,,,"NHG202501.txt","1.688934","31.156917"
"H-ZF10","H","ZF","10","",,,,"NHG202501.txt","1.688934","31.156917"
"S-ZF11","S","ZF","11","",,,,"NHG202501.txt","1.69895","30.052043"
"H-ZF11","H","ZF","11","",,,,"NHG202501.txt","1.69895","30.052043"
"S-ZF12","S","ZF","12","",,,,"NHG202501.txt","1.761821","26.619569"
"H-ZF12","H","ZF","12","",,,,"NHG202501.txt","1.761821","26.619569"
"S-ZF12GT","S","ZF","12","GT",,,,"NHG202501.txt","1.761821","26.619569"
"H-ZF12GT","H","ZF","12","GT",,,,"NHG202501.txt","1.761821","26.619569"
"S-ZF13","S","ZF","13","",,,,"NHG202501.txt","1.78472","25.72922"
"H-ZF13","H","ZF","13","",,,,"NHG202501.txt","1.78472","25.72922"
"S-ZF13GT","S","ZF","13","GT",,,,"NHG202501.txt","1.78472","25.72922"
"H-ZF13GT","H","ZF","13","GT",,,,"NHG202501.txt","1.78472","25.72922"
"S-ZF50","S","ZF","50","",,,,"NHG202501.txt","1.740771","27.766042"
"H-ZF50","H","ZF","50","",,,,"NHG202501.txt","1.740771","27.766042"
"S-ZF50GT","S","ZF","50","GT",,,,"NHG202501.txt","1.740771","27.766042"
"H-ZF50GT","H","ZF","50","GT",,,,"NHG202501.txt","1.740771","27.766042"
"S-ZF52N","S","ZF","52","N",,,,"NHG202501.txt","1.846657","23.789972"
"H-ZF52N","H","ZF","52","N",,,,"NHG202501.txt","1.846657","23.789972"
"S-ZF52NGT","S","ZF","52","NGT",,,,"NHG202501.txt","1.846657","23.789972"
"H-ZF52NGT","H","ZF","52","NGT",,,,"NHG202501.txt","1.846657","23.789972"
"S-ZF56","S","ZF","56","",,,,"NHG202501.txt","1.854787","24.801665"
"H-ZF56","H","ZF","56","",,,,"NHG202501.txt","1.854787","24.801665"
"S-ZF62","S","ZF","62","",,,,"NHG202501.txt","1.922862","20.886305"
"H-ZF62","H","ZF","62","",,,,"NHG202501.txt","1.922862","20.886305"
"S-ZF62GT","S","ZF","62","GT",,,,"NHG202501.txt","1.922862","20.886305"
"H-ZF62GT","H","ZF","62","GT",,,,"NHG202501.txt","1.922862","20.886305"
"S-ZF72B","S","ZF","72","B",,,,"NHG202501.txt","1.922857","18.899816"
"H-ZF72B","H","ZF","72","B",,,,"NHG202501.txt","1.922857","18.899816"
"S-ZF72GT","S","ZF","72","GT",,,,"NHG202501.txt","1.922857","18.899816"
"H-ZF72GT","H","ZF","72","GT",,,,"NHG202501.txt","1.922857","18.899816"
"S-ZF75A","S","ZF","75","A",,,,"NHG202501.txt","1.945948","17.988963"
"H-ZF75A","H","ZF","75","A",,,,"NHG202501.txt","1.945948","17.988963"
"S-ZF75GT","S","ZF","75","GT",,,,"NHG202501.txt","1.945948","17.988963"
"H-ZF75GT","H","ZF","75","GT",,,,"NHG202501.txt","1.945948","17.988963"
"S-ZF76","S","ZF","76","",,,,"NHG202501.txt","1.959059","17.47225"
"H-ZF76","H","ZF","76","",,,,"NHG202501.txt","1.959059","17.47225"
"S-TF3L","S","TF","3","L",,,,"NHG202501.txt","1.613394","44.124974"
"H-TF3L","H","TF","3","L",,,,"NHG202501.txt","1.613394","44.124974"
"S-ZBAF3","S","ZBAF","3","",,,,"NHG202501.txt","1.656911","51.144642"
"H-ZBAF3","H","ZBAF","3","",,,,"NHG202501.txt","1.656911","51.144642"
"S-ZBAF5","S","ZBAF","5","",,,,"NHG202501.txt","1.671025","47.292797"
"H-ZBAF5","H","ZBAF","5","",,,,"NHG202501.txt","1.671025","47.292797"
"S-ZBAF10","S","ZBAF","10","",,,,"NHG202501.txt","1.617726","49.806812"
"H-ZBAF10","H","ZBAF","10","",,,,"NHG202501.txt","1.617726","49.806812"
"S-ZBAF16","S","ZBAF","16","",,,,"NHG202501.txt","1.666715","48.396742"
"H-ZBAF16","H","ZBAF","16","",,,,"NHG202501.txt","1.666715","48.396742"
"S-ZBAF16A","S","ZBAF","16","A",,,,"NHG202501.txt","1.666719","48.409116"
"H-ZBAF16A","H","ZBAF","16","A",,,,"NHG202501.txt","1.666719","48.409116"
"S-ZBAF20","S","ZBAF","20","",,,,"NHG202501.txt","1.701541","41.176531"
"H-ZBAF20","H","ZBAF","20","",,,,"NHG202501.txt","1.701541","41.176531"
"S-ZBAF21","S","ZBAF","21","",,,,"NHG202501.txt","1.723412","37.999234"
"H-ZBAF21","H","ZBAF","21","",,,,"NHG202501.txt","1.723412","37.999234"
"S-ZBAF50","S","ZBAF","50","",,,,"NHG202501.txt","1.658436","50.844235"
"H-ZBAF50","H","ZBAF","50","",,,,"NHG202501.txt","1.658436","50.844235"
"S-ZBAF52","S","ZBAF","52","",,,,"NHG202501.txt","1.670029","47.195831"
"H-ZBAF52","H","ZBAF","52","",,,,"NHG202501.txt","1.670029","47.195831"
"S-ZBAF65","S","ZBAF","65","",,,,"NHG202501.txt","1.654113","39.676229"
"H-ZBAF65","H","ZBAF","65","",,,,"NHG202501.txt","1.654113","39.676229"
"S-LAF1","S","LAF","1","",,,,"NHG202501.txt","1.693622","49.204598"
"H-LAF1","H","LAF","1","",,,,"NHG202501.txt","1.693622","49.204598"
"S-LAF2","S","LAF","2","",,,,"NHG202501.txt","1.716986","47.896793"
"H-LAF2","H","LAF","2","",,,,"NHG202501.txt","1.716986","47.896793"
"S-LAF2A","S","LAF","2","A",,,,"NHG202501.txt","1.716997","47.895527"
"H-LAF2A","H","LAF","2","A",,,,"NHG202501.txt","1.716997","47.895527"
"S-LAF3B","S","LAF","3","B",,,,"NHG202501.txt","1.744","44.892639"
"H-LAF3B","H","LAF","3","B",,,,"NHG202501.txt","1.744","44.892639"
"H-LAF3C","H","LAF","3","C",,,,"NHG202501.txt","1.743998","44.902483"
"S-LAF3C","S","LAF","3","C",,,,"NHG202501.txt","1.743998","44.902483"
"S-LAF4","S","LAF","4","",,,,"NHG202501.txt","1.7495","35.011465"
"H-LAF4","H","LAF","4","",,,,"NHG202501.txt","1.7495","35.011465"
"S-LAF4A","S","LAF","4","A",,,,"NHG202501.txt","1.749499","35.022728"
"H-LAF4A","H","LAF","4","A",,,,"NHG202501.txt","1.749499","35.022728"
"S-LAF6LB","S","LAF","6","LB",,,,"NHG202501.txt","1.756995","47.698657"
"H-LAF6LB","H","LAF","6","LB",,,,"NHG202501.txt","1.756995","47.698657"
"S-LAF7","S","LAF","7","",,,,"NHG202501.txt","1.78179","37.078745"
"H-LAF7","H","LAF","7","",,,,"NHG202501.txt","1.78179","37.078745"
"S-LAF10A","S","LAF","10","A",,,,"NHG202501.txt","1.787993","47.469992"
"H-LAF10A","H","LAF","10","A",,,,"NHG202501.txt","1.787993","47.469992"
"S-LAF50","S","LAF","50","",,,,"NHG202501.txt","1.772494","49.578677"
"H-LAF50","H","LAF","50","",,,,"NHG202501.txt","1.772494","49.578677"
"S-LAF50B","S","LAF","50","B",,,,"NHG202501.txt","1.772497","49.598857"
"H-LAF50B","H","LAF","50","B",,,,"NHG202501.txt","1.772497","49.598857"
